# joint3(x,y),  joint4(x,y),     joint5(x,y),    foot(x,y)
-30.68	69.25	20.51	-28.02	-87.20	-73.39	-15.10	-94.02
-33.40	70.01	21.01	-26.40	-84.66	-74.60	-12.12	-93.69
-35.81	70.60	21.44	-24.92	-82.38	-75.60	-9.48	-93.24
-37.82	71.03	21.79	-23.56	-80.47	-76.36	-7.27	-92.70
-39.31	71.31	22.09	-22.36	-79.06	-76.89	-5.61	-92.06
-40.11	71.45	22.33	-21.33	-78.28	-77.16	-4.63	-91.32
-40.07	71.44	22.51	-20.50	-78.32	-77.15	-4.52	-90.46
-38.98	71.25	22.63	-19.91	-79.37	-76.77	-5.45	-89.46
-36.61	70.78	22.69	-19.63	-81.63	-75.90	-7.65	-88.23
-32.72	69.83	22.66	-19.76	-85.29	-74.31	-11.31	-86.63
-27.17	68.11	22.52	-20.46	-90.47	-71.66	-16.57	-84.46
-19.97	65.15	22.19	-21.95	-97.06	-67.52	-23.37	-81.52
-11.55	60.51	21.53	-24.58	-104.56	-61.51	-31.35	-77.77
-2.83	54.08	20.25	-28.81	-112.05	-53.69	-39.79	-73.75
4.90	46.48	17.89	-35.01	-118.38	-44.87	-48.01	-70.82
10.71	39.02	13.85	-43.05	-122.83	-36.53	-55.95	-70.48
14.49	32.92	7.89	-51.88	-125.51	-29.88	-64.10	-72.94
16.72	28.60	0.55	-60.01	-126.96	-25.24	-72.54	-76.84
17.97	25.83	-7.06	-66.44	-127.72	-22.29	-80.69	-80.71
18.64	24.21	-13.91	-70.95	-128.11	-20.59	-87.80	-83.83
18.96	23.41	-19.43	-73.89	-128.28	-19.74	-93.42	-86.14
19.04	23.18	-23.42	-75.67	-128.33	-19.50	-97.43	-87.84
18.97	23.37	-25.98	-76.67	-128.29	-19.70	-99.94	-89.14
18.77	23.87	-27.27	-77.14	-128.18	-20.23	-101.13	-90.18
18.48	24.61	-27.52	-77.23	-128.02	-21.01	-101.23	-91.06
18.09	25.55	-26.91	-77.01	-127.79	-22.00	-100.43	-91.83
17.61	26.65	-25.62	-76.54	-127.51	-23.17	-98.90	-92.50
17.05	27.89	-23.81	-75.83	-127.17	-24.49	-96.80	-93.06
16.40	29.26	-21.60	-74.89	-126.76	-25.95	-94.25	-93.53
15.65	30.74	-19.10	-73.73	-126.28	-27.53	-91.34	-93.90
14.81	32.33	-16.41	-72.35	-125.73	-29.24	-88.17	-94.16
13.87	34.02	-13.60	-70.77	-125.08	-31.07	-84.81	-94.34
12.81	35.80	-10.75	-69.00	-124.34	-33.00	-81.30	-94.42
11.62	37.66	-7.89	-67.04	-123.49	-35.04	-77.71	-94.44
10.31	39.61	-5.09	-64.93	-122.53	-37.18	-74.06	-94.41
8.85	41.62	-2.38	-62.69	-121.44	-39.41	-70.37	-94.35
7.24	43.69	0.21	-60.34	-120.21	-41.73	-66.68	-94.26
5.48	45.82	2.66	-57.91	-118.83	-44.12	-62.98	-94.18
3.55	47.97	4.95	-55.42	-117.30	-46.58	-59.29	-94.12
1.45	50.14	7.08	-52.90	-115.60	-49.07	-55.60	-94.08
-0.83	52.31	9.04	-50.37	-113.73	-51.60	-51.92	-94.07
-3.27	54.45	10.82	-47.86	-111.68	-54.12	-48.23	-94.10
-5.88	56.55	12.44	-45.39	-109.47	-56.63	-44.54	-94.16
-8.64	58.57	13.89	-42.97	-107.10	-59.10	-40.84	-94.24
-11.53	60.50	15.20	-40.62	-104.58	-61.50	-37.15	-94.33
-14.54	62.32	16.35	-38.34	-101.92	-63.80	-33.46	-94.41
-17.63	63.99	17.38	-36.16	-99.17	-65.98	-29.79	-94.47
-20.77	65.52	18.29	-34.07	-96.34	-68.02	-26.16	-94.48
-23.90	66.87	19.08	-32.09	-93.48	-69.88	-22.61	-94.44
-26.98	68.04	19.77	-30.21	-90.64	-71.57	-19.17	-94.31
